Date,Module,Type,Reference,Description,Debit,Credit,Balance
06 Oct 2022,LOANS,DISBURSEMENT,MIG-BEN-L1-DISB,Initial Loan Disbursement,1000000.00,,
06 Oct 2022,LOANS,REPAYMENT,BEN-L1-REP-001,Loan Repayment,,3000.00,
13 Oct 2022,LOANS,REPAYMENT,BEN-L1-REP-002,Loan Repayment,,3000.00,
20 Oct 2022,LOANS,REPAYMENT,BEN-L1-REP-003,Loan Repayment,,8250.00,
27 Oct 2022,LOANS,REPAYMENT,BEN-L1-REP-004,Loan Repayment,,4000.00,
03 Nov 2022,LOANS,REPAYMENT,BEN-L1-REP-005,Loan Repayment,,7000.00,
10 Nov 2022,LOANS,REPAYMENT,BEN-L1-REP-006,Loan Repayment,,10000.00,
17 Nov 2022,LOANS,REPAYMENT,BEN-L1-REP-007,Loan Repayment,,11000.00,
24 Nov 2022,LOANS,REPAYMENT,BEN-L1-REP-008,Loan Repayment,,11800.00,
01 Dec 2022,LOANS,REPAYMENT,BEN-L1-REP-009,Loan Repayment,,12000.00,
08 Dec 2022,LOANS,REPAYMENT,BEN-L1-REP-010,Loan Repayment,,11500.00,
15 Dec 2022,LOANS,REPAYMENT,BEN-L1-REP-011,Loan Repayment,,12000.00,
22 Dec 2022,LOANS,REPAYMENT,BEN-L1-REP-012,Loan Repayment,,11700.00,
29 Dec 2022,LOANS,REPAYMENT,BEN-L1-REP-013,Loan Repayment,,11000.00,
05 Jan 2023,LOANS,REPAYMENT,BEN-L1-REP-014,Loan Repayment,,11000.00,
12 Jan 2023,LOANS,REPAYMENT,BEN-L1-REP-015,Loan Repayment,,12000.00,
19 Jan 2023,LOANS,REPAYMENT,BEN-L1-REP-016,Loan Repayment,,11500.00,
26 Jan 2023,LOANS,REPAYMENT,BEN-L1-REP-017,Loan Repayment,,11700.00,
02 Feb 2023,LOANS,REPAYMENT,BEN-L1-REP-018,Loan Repayment,,11500.00,
09 Feb 2023,LOANS,REPAYMENT,BEN-L1-REP-019,Loan Repayment,,11500.00,
16 Feb 2023,LOANS,REPAYMENT,BEN-L1-REP-020,Loan Repayment,,11500.00,
23 Feb 2023,LOANS,REPAYMENT,BEN-L1-REP-021,Loan Repayment,,11500.00,
02 Mar 2023,LOANS,REPAYMENT,BEN-L1-REP-022,Loan Repayment,,12000.00,
09 Mar 2023,LOANS,REPAYMENT,BEN-L1-REP-023,Loan Repayment,,11500.00,
16 Mar 2023,LOANS,REPAYMENT,BEN-L1-REP-024,Loan Repayment,,11500.00,
23 Mar 2023,LOANS,REPAYMENT,BEN-L1-REP-025,Loan Repayment,,11500.00,
30 Mar 2023,LOANS,REPAYMENT,BEN-L1-REP-026,Loan Repayment,,11500.00,
06 Apr 2023,LOANS,REPAYMENT,BEN-L1-REP-027,Loan Repayment,,11500.00,
13 Apr 2023,LOANS,REPAYMENT,BEN-L1-REP-028,Loan Repayment,,11500.00,
20 Apr 2023,LOANS,REPAYMENT,BEN-L1-REP-029,Loan Repayment,,11500.00,
27 Apr 2023,LOANS,REPAYMENT,BEN-L1-REP-030,Loan Repayment,,11500.00,
04 May 2023,LOANS,REPAYMENT,BEN-L1-REP-031,Loan Repayment,,9500.00,
11 May 2023,LOANS,REPAYMENT,BEN-L1-REP-032,Loan Repayment,,12000.00,
18 May 2023,LOANS,REPAYMENT,BEN-L1-REP-033,Loan Repayment,,11500.00,
01 Jun 2023,LOANS,REPAYMENT,BEN-L1-REP-034,Loan Repayment,,10500.00,
22 Jun 2023,LOANS,REPAYMENT,BEN-L1-REP-035,Loan Repayment,,11500.00,
13 Jul 2023,LOANS,REPAYMENT,BEN-L1-REP-036,Loan Repayment,,12000.00,
20 Jul 2023,LOANS,REPAYMENT,BEN-L1-REP-037,Loan Repayment,,9500.00,
27 Jul 2023,LOANS,REPAYMENT,BEN-L1-REP-038,Loan Repayment,,9500.00,
03 Aug 2023,LOANS,REPAYMENT,BEN-L1-REP-039,Loan Repayment,,9000.00,
17 Aug 2023,LOANS,REPAYMENT,BEN-L1-REP-040,Loan Repayment,,12000.00,
24 Aug 2023,LOANS,REPAYMENT,BEN-L1-REP-041,Loan Repayment,,11500.00,
31 Aug 2023,LOANS,REPAYMENT,BEN-L1-REP-042,Loan Repayment,,11500.00,
07 Sep 2023,LOANS,REPAYMENT,BEN-L1-REP-043,Loan Repayment,,11500.00,
14 Sep 2023,LOANS,REPAYMENT,BEN-L1-REP-044,Loan Repayment,,11500.00,
28 Sep 2023,LOANS,REPAYMENT,BEN-L1-REP-045,Loan Repayment,,11000.00,
05 Oct 2023,LOANS,REPAYMENT,BEN-L1-REP-046,Loan Repayment,,12000.00,
12 Oct 2023,LOANS,REPAYMENT,BEN-L1-REP-047,Loan Repayment,,12000.00,
19 Oct 2023,LOANS,REPAYMENT,BEN-L1-REP-048,Loan Repayment,,12000.00,
26 Oct 2023,LOANS,REPAYMENT,BEN-L1-REP-049,Loan Repayment,,12000.00,
09 Nov 2023,LOANS,REPAYMENT,BEN-L1-REP-050,Loan Repayment,,12500.00,
16 Nov 2023,LOANS,REPAYMENT,BEN-L1-REP-051,Loan Repayment,,12500.00,
23 Nov 2023,LOANS,REPAYMENT,BEN-L1-REP-052,Loan Repayment,,11700.00,
30 Nov 2023,LOANS,REPAYMENT,BEN-L1-REP-053,Loan Repayment,,12000.00,
14 Dec 2023,LOANS,REPAYMENT,BEN-L1-REP-054,Loan Repayment,,13000.00,
04 Jan 2024,LOANS,REPAYMENT,BEN-L1-REP-055,Loan Repayment,,11000.00,
11 Jan 2024,LOANS,REPAYMENT,BEN-L1-REP-056,Loan Repayment,,12000.00,
18 Jan 2024,LOANS,REPAYMENT,BEN-L1-REP-057,Loan Repayment,,12000.00,
25 Jan 2024,LOANS,REPAYMENT,BEN-L1-REP-058,Loan Repayment,,11500.00,
01 Feb 2024,LOANS,REPAYMENT,BEN-L1-REP-059,Loan Repayment,,12000.00,
21 Mar 2024,LOANS,REPAYMENT,BEN-L1-REP-060,Loan Repayment,,11000.00,
09 May 2024,LOANS,REPAYMENT,BEN-L1-REP-061,Loan Repayment,,10000.00,
30 May 2024,LOANS,REFINANCE,MIG-BEN-L2-REF,Loan Refinance (Top-Up),300000.00,,
30 May 2024,LOANS,REPAYMENT,BEN-L2-REP-001,Loan Repayment,,20000.00,
06 Jun 2024,LOANS,REPAYMENT,BEN-L2-REP-002,Loan Repayment,,14000.00,
13 Jun 2024,LOANS,REPAYMENT,BEN-L2-REP-003,Loan Repayment,,43000.00,
20 Jun 2024,LOANS,REPAYMENT,BEN-L2-REP-004,Loan Repayment,,26000.00,
